,reviews
108,"Never in my dreams would I expect to see a waterfall in an airport - but there it is.

We were early for our flight and we'd read about the Jewel opening in 2019 so decided to go and eat plus sightsee.

The planted forest and waterfall area is truly breathtaking.  We were lucky as there were fewer visitors due to virus fears as I can imagine it gets very crowded in the centre.
The rest of the mall is 10 floors of shopping and eating.  You can also check in and store bags if you want to walk around unencumbered"
109,"Still one of the best airports in the World (that I have visited)
Great customer service and services.  An interesting place to spend the time between flights. There was some great food choices, but I decided on some nourishing noodles. I had no room in my carry on so I wasn't tempted to buy anything. 
A food massage was just what the doctor ordered. 
I wish I had known that there was a pool. Will check it out next time."
110,"you can have a walk around and check out the waterfall area. it is beautiful and with all the floral, is like you walk into a forest.
It has a lot of cafes and restaurant.
Best of all, it has Pokemon Center!!!"
111,"The centrepiece of the Jewel is the waterfall that falls from the ceiling of the dome. Officially known as the Rain Vortex, at 40 metres high it’s the world’s tallest indoor waterfall. You can see this from all the angles and beautifully lit at night when the colour changes"
112,Best airport in the world with best amenities. The waterfall is amazing and also the flower garden and canopy bridge. Well connected from the main airport.
113,It is a new shopping in Changi airport. Obviously the most attractive object in this mall is the artificial waterfall which is right in the middle of the mall. I liked the design which give a sense of the forest feel. There is no observation deck but you view it from different floors. The mall offered variety of branded goods. It is an expensive place for shopping at least I enjoyed the windows shopping the free air-cond as the climate in Singapore was really hot during the time I visited.
114,When we landed at Changi Airport they were screening for corona virus and asked a lot of questions.  We were good to enter Singapore from Canada. This airport is so beautiful out of a story book.  The Jewel is outstanding and we enjoyed it very very much.
115,"This the best airport for travel, shopping and facilities with very friendly staff.
Very easy access to city center"
116,"Absolutely stunning venue and can spend all day there, the waterfall alone is spectacular. Singapore Changi airport is a destination on its own, now with Jewel it’s the best ever."
117,"Jewel takes the concept of shopping centres to a whole new level.

Outstanding architecture, a huge variety of shops, discounts for tourists, and plenty of attractions on the top two floors to keep you entertained. The rain vortex is the obvious centre attraction but that’s only the start of what Jewel has to offer.

To fully enjoy Jewel, I recommend allocating at least 3 hours of your time to it.

Highly recommended."
